character,release,resource,slot,digest,bytes,metric,pixels
À,authored,0,0,e7089662154a037117979244f92c480b276eda45,448,CwA=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAADMzAAAAAAAAAAAAAAAAAADw/wcAAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAAcP8AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB3NwAAAAAAAAAAAAAAAABw/38AAAAAAAAAAAAAAAAA8P//AwAAAAAAAAAAAAAAAPN//wcAAAAAAAAAAAAAAAD3P/8PAAAAAAAAAAAAAAAA/w/3PwAAAAAAAAAAAAAAMP8H8/8AAAAAAAAAAAAAAHD/A/D/AwAAAAAAAAAAAADw/wBw/wcAAAAAAAAAAAAA938AAP8PAAAAAAAAAAAAAP8PAAD3fwAAAAAAAAAAADD/BwAA8/8AAAAAAAAAAABw/wMAAPD/AwAAAAAAAAAA8P8DAABw/wcAAAAAAAAAAPf///////8PAAAAAAAAAAD/////////fwAAAAAAAAAw/z8zMzMz9/8AAAAAAAAAcP8HAAAAAPD/AAAAAAAAAPD/AwAAAABw/wAAAAAAAADz/wAAAAAAMP8AAAAAAAAA938AAAAAAAD/AAAAAA==
Â,authored,0,1,e24308f90df2ed18a4c48b744bc271c677188761,448,CwE=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAzAwAAAAAAAAAAAAAAAABw/38AAAAAAAAAAAAAAAAA93//BwAAAAAAAAAAAAAAMP8P9z8AAAAAAAAAAAAAAPD/A/D/AwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB3NwAAAAAAAAAAAAAAAABw/38AAAAAAAAAAAAAAAAA8P//AwAAAAAAAAAAAAAAAPN//wcAAAAAAAAAAAAAAAD3P/8PAAAAAAAAAAAAAAAA/w/3PwAAAAAAAAAAAAAAMP8H8/8AAAAAAAAAAAAAAHD/A/D/AwAAAAAAAAAAAADw/wBw/wcAAAAAAAAAAAAA938AAP8PAAAAAAAAAAAAAP8PAAD3fwAAAAAAAAAAADD/BwAA8/8AAAAAAAAAAABw/wMAAPD/AwAAAAAAAAAA8P8DAABw/wcAAAAAAAAAAPf///////8PAAAAAAAAAAD/////////fwAAAAAAAAAw/z8zMzMz9/8AAAAAAAAAcP8HAAAAAPD/AAAAAAAAAPD/AwAAAABw/wAAAAAAAADz/wAAAAAAMP8AAAAAAAAA938AAAAAAAD/AAAAAA==
Ã,authored,0,2,5bfcb137e6460a425209ea6520ae4982c85643ec,448,CwI=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD3fwDwDwAAAAAAAAAAAABw//9/9w8AAAAAAAAAAAAA8z9z//8HAAAAAAAAAAAAAHMHAHM3AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADD/fwAAAAAAAAAAAAAAAABw//8AAAAAAAAAAAAAAAAA8P//AwAAAAAAAAAAAAAAAPN//wcAAAAAAAAAAAAAAAD3D/8PAAAAAAAAAAAAAAAA/w/3fwAAAAAAAAAAAAAAcP8H8P8AAAAAAAAAAAAAAPD/AHD/AwAAAAAAAAAAAADzfwAw/wcAAAAAAAAAAAAA9z8AAP8/AAAAAAAAAAAAAP8PAAD3fwAAAAAAAAAAAHD/BwAA8/8AAAAAAAAAAADw/wMAAPD/AwAAAAAAAAAA8/93d3f3/w8AAAAAAAAAAPf///////8/AAAAAAAAAAD/////////fwAAAAAAAAAw/w8AAAAA8/8AAAAAAAAAcP8HAAAAAPD/AAAAAAAAAPD/AAAAAABw/wAAAAAAAAD3fwAAAAAAMP8AAAAAAAAA/z8AAAAAAAD/AAAAAA==
Ç,authored,0,3,34b1110b86f864a5dc7079acfa777afbfaf27df3,448,CwM=,AAAAAAAAADAzAAAAAAAAAAAAAAAAAPf///83AAAAAAAAAAAAAPf//////wcAAAAAAAAAAHD//3dz9/9/AAAAAAAAAAD3/wcAAAD3/wAAAAAAAAAw/z8AAAAAcP8AAAAAAAAA8P8HAAAAAAD/AAAAAAAAAPP/AAAAAAAA9wAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA/38AAAAAAAAAAAAAAAAAAP8/AAAAAAAAAAAAAAAAAAD/PwAAAAAAAAAAAAAAAAAA/w8AAAAAAAAAAAAAAAAAAP8/AAAAAAAAAAAAAAAAAAD/PwAAAAAAAAAAAAAAAAAA9z8AAAAAAAAAAAAAAAAAAPd/AAAAAAAA8AAAAAAAAADz/wAAAAAAAPMAAAAAAAAA8P8HAAAAAAD3AAAAAAAAAHD/PwAAAAAw/wAAAAAAAAAA//8DAAAA8/8AAAAAAAAAAPD/fzMw8///AAAAAAAAAAAw////////BwAAAAAAAAAAAHD/////PwAAAAAAAAAAAAAAMPd/MwAAAAAAAAAAAAAAAAD3BwAAAAAAAAAAAAAAAAAA//8DAAAAAAAAAAAAAAAAAAD3DwAAAAAAAA==
É,authored,0,4,d3d24ced233ef9e399a2e0bcfbc6424c148d301f,448,CwQ=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMzMAAAAAAAAAAAAAAAAAMP8/AAAAAAAAAAAAAAAAAPD/AwAAAAAAAAAAAAAAAADzfwAAAAAAAAAAAAAAAAAA9wcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADB3d3d3d3d3dwAAAAAAAAAw//////////8AAAAAAAAAMP//////////AAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/////////38AAAAAAAAAMP////////9/AAAAAAAAADD/////////fwAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8/MzMzMzMzAAAAAA==
Ê,authored,0,5,5a71c92aadf05f40ac371b15ab8103401d738d87,448,CwU=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAzMwAAAAAAAAAAAAAAAAAA//8HAAAAAAAAAAAAAAAAcP/3PwAAAAAAAAAAAAAAAPd/8P8AAAAAAAAAAAAAADD/DzD/DwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADB3d3d3d3d3dwAAAAAAAAAw//////////8AAAAAAAAAMP//////////AAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/////////38AAAAAAAAAMP////////9/AAAAAAAAADD/////////fwAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8PAAAAAAAAAAAAAAAAADD/DwAAAAAAAAAAAAAAAAAw/w8AAAAAAAAAAAAAAAAAMP8/MzMzMzMzAAAAAA==
Í,authored,0,6,2eef8fb6732e8dfaab9f1e5695cb9c39e5df467d,448,CwY=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMwMAAAAAAAAAAAAAAAAAcP8PAAAAAAAAAAAAAAAAAPP/AAAAAAAAAAAAAAAAAAD3PwAAAAAAAAAAAAAAAAAA/wcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABzNwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAAAAAAAAAAD3fwAAAAAAAAAAAAAAAAAA938AAAAAAAAAAAAAAAAAAPd/AAAAAAAAAA==
Ô,authored,0,7,85bca9769907da87a7ed4dc7b3a09d02cef33204,448,Cwc=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB3dwAAAAAAAAAAAAAAAABw//8DAAAAAAAAAAAAAAAA83//PwAAAAAAAAAAAAAAAP8P8/8AAAAAAAAAAAAAAHB3A3B3BwAAAAAAAAAAAAAAADMzAAAAAAAAAAAAAAAAcPf//38DAAAAAAAAAAAAMP///////wMAAAAAAAAAAPf/fzdz9/9/AAAAAAAAADD/fwMAADD//wAAAAAAAADw/wcAAAAAcP8AAAAAAAAA938AAAAAAAD/AAAAAAAAAP8/AAAAAAAA8wAAAAAAAHD/DwAAAAAAAPAAAAAAAABw/wcAAAAAAABwAAAAAAAA8P8DAAAAAAAAMAAAAAAAAPD/AwAAAAAAADAAAAAAAADw/wMAAAAAAAAwAAAAAAAA8P8DAAAAAAAAMAAAAAAAAPD/AwAAAAAAADAAAAAAAABw/wcAAAAAAABwAAAAAAAAcP8HAAAAAAAAcAAAAAAAADD/DwAAAAAAAPAAAAAAAAAA938AAAAAAAD3AAAAAAAAAPP/BwAAAABw/wAAAAAAAABw/38AAAAA9/8AAAAAAAAAAPf/fwMw9/9/AAAAAA==
Õ,authored,0,8,c695a3fe53e9747949775b3e04754d9fdb99a72e,448,Cwg=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAADADAAAAAAAAAAAAADD//wPwPwAAAAAAAAAAAADw/////w8AAAAAAAAAAAAA8z9w//8DAAAAAAAAAAAAAHADADADAAAAAAAAAAAAAAAAcHd3AwAAAAAAAAAAAAAA8/////83AAAAAAAAAAAAcP///////wcAAAAAAAAAAPf/PwAA8/9/AAAAAAAAAHD/PwAAAAD3/wAAAAAAAADz/wMAAAAAMP8AAAAAAAAA/38AAAAAAAD3AAAAAAAAMP8PAAAAAAAA8AAAAAAAAHD/BwAAAAAAAHAAAAAAAABw/wcAAAAAAABwAAAAAAAA8P8DAAAAAAAAMAAAAAAAAPD/AwAAAAAAADAAAAAAAADw/wMAAAAAAAAwAAAAAAAA8P8DAAAAAAAAMAAAAAAAAPD/AwAAAAAAADAAAAAAAABw/wcAAAAAAABwAAAAAAAAMP8PAAAAAAAA8AAAAAAAAAD/PwAAAAAAAPMAAAAAAAAA9/8AAAAAAAD/AAAAAAAAAPD/BwAAAABw/wAAAAAAAAAw//8DAAAw//8AAAAAAAAAAPP//3d3//8/AAAAAA==
Ú,authored,0,9,ac6915824aefe61d122256187f9252d1ff6876dc,448,Cwk=,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAdzcAAAAAAAAAAAAAAAAAcP8PAAAAAAAAAAAAAAAAAPD/AwAAAAAAAAAAAAAAAAD3PwAAAAAAAAAAAAAAAAAAdwcAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAPD/AAAAAAAA/wAAAAAAAADw/wAAAAAAAP8AAAAAAAAA8P8AAAAAAAD/AAAAAAAAAPD/AAAAAAAA/wAAAAAAAADw/wAAAAAAAP8AAAAAAAAA8P8AAAAAAAD/AAAAAAAAAPD/AAAAAAAA/wAAAAAAAADw/wAAAAAAAP8AAAAAAAAA8P8AAAAAAAD/AAAAAAAAAPD/AAAAAAAA/wAAAAAAAADw/wAAAAAAAP8AAAAAAAAA8P8AAAAAAAD/AAAAAAAAAPD/AAAAAAAA/wAAAAAAAADw/wAAAAAAMP8AAAAAAAAA8P8AAAAAADD/AAAAAAAAAPD/AAAAAAAw/wAAAAAAAADw/wMAAAAAMP8AAAAAAAAAcP8DAAAAAHD/AAAAAAAAAHD/DwAAAADw/wAAAAAAAAAA/38AAAAA9/8AAAAAAAAAAPf/fzMz9/8/AAAAAA==
