character,donor_resource,donor_slot,digest,alternate_donors
 ,61,15,7aeae9bc21885be7c7fe2cae0dc68b9e745c31f4,61:0;1197:2;1197:60;1203:2;1203:46;1299:5;1299:57;1313:3;1313:49;1357:3;1357:47
a,61,9,0ea3e8ca5286cb14c57e40ca62322d886afe05e9,1299:54;1357:56
b,1357,53,e578020bf1f9b04c8f0c22f0c360c9074f035fbd,
d,61,8,127ef8e55e5379f5de6d9e791aef6044122c5e52,1197:54;1197:65;1299:62;1313:54;1357:57
e,61,13,1d7c8f1ea436e65b937a35f17df4407a7aa6bc50,1197:55;1203:42;1299:60;1313:48;1357:46
f,1197,56,ef0fda1416e2d9828d52e7b5b33467a4313ce0aa,1299:59
h,1197,63,d1b43402fc13aaca20f20d10c4f5235015833947,1299:56;1313:47;1357:45;1357:55
i,61,16,e180cd9b6e37bd602bd0a678101a705a31e58754,1197:57;1203:44;1313:51;1357:48;1357:51
k,61,11,9f635a0192c0d182e4542a5bb1070e6badcae222,
l,1203,40,b22ed105d0ab096f6c77ad7459e141e2a6f2a07c,1313:58;1357:54
n,61,12,1d04a172d2885ddc3a839f1f7684774ac65e0493,1357:49
o,1197,61,b296c855474cc67610bd1299b4bf9e4ed0dfd96e,1203:45;1299:58;1313:56
p,61,17,dec41e7e059ad7b170818bd60885cd35a5b90e85,
r,61,10,29948e9a81e3fc9fe678d449c69dccb0bf4b6058,1197:58;1203:43;1299:53;1313:57
s,61,14,05f700379383168f386efba9b70989102196dc6a,1197:59;1203:49;1299:63;1313:52;1357:52
t,1197,62,f036032e88dc8e60a0fe8ab6e09adaf2c3c72436,1203:41;1299:55;1313:46;1313:53;1357:44
v,1203,48,a7eef7d948eee34a4a7625ebd5288ae84e70253b,1357:50
w,1299,52,7001a5b32ed172c41f94632ceac38050c8d2073d,1313:50;1313:55
G,1197,64,d9a5a320ab12e9b26df4305d2c1f47c91a6efc9c,1299:61
M,1203,47,a5afab719fc0b7a69a8ee0a86a8ef199db21237a,
U,1203,39,48c808af6174e8991b3b374f8d97e8cab2625350,
