"resource","scope","max_extent","kind","evidence"
"10","container","4475","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"641","container","66924","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"642","container","18909","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"643","container","1092","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"644","container","69386","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"645","container","72193","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"646","container","4196","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"647","container","29572","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"648","container","21374","verified","high-water mark, played: a build reaching 21374 draws the sealstone menu correctly once container 866 is held to its own ceiling, so this bank was not the cause of that screen's corruption and 21374 is confirmed rather than merely untested. Its real limit is unknown; going past this is untested."
"649","container","17277","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"650","container","70587","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"651","container","1338","verified","high-water mark, not a measured cap: the extent shipped in release24, played and confirmed working. This bank's real limit is unknown, so going past this is untested rather than known-bad."
"652","container","11963","limit","how far the indexed records may reach from text_start. Six builds place it. Pristine reaches 11568 and runs. Pristine padded to a 12000-byte region still reaches 11568 and runs, ruling out region size. Twelve records carrying the 28-byte name 'Ruinas da Montanha Serdberg' and nothing else reach 11616 and run, ruling out record length. 283 rows budgeted to the old 80-byte slack reach 11648 and run. All 350 rows with that name at 25 bytes reach 11963 and run; the same 350 with it at 28 reach 11999 and crash the save/load screen from the title menu and in game. Relocating the entry to 19 sectors changes nothing either way. The true boundary is in 11964-11999. Every European release ships this bank far larger (Spain 13403, Italy 13139, Germany 13053, France 12493) on its own executable, so the cap is compiled in per region and their data bounds nothing here."
"127","scene-content","1575628","verified","716 bytes past this resource's pristine outer allocation. 24 token records adding 19 glyphs. Played without issue at this extent. Entered twenty times from a memory-card save with no fault, which is the run count 1337's ladder established as meaningful against a two-in-five failure rate. Play-tested again on the drawn accent marks -- twenty entries from a memory-card save, no fault -- but at an extent below this mark, so the figure is unchanged and this row is verified rather than a candidate. This resource ends within a dozen bytes of that mark, and every change to the drawn accent art recompresses it by a few bytes, so it crosses the line easily: the first drawn set put 127, 133 and 245 over, thinning the marks put only 245 over, reshaping the tilde put 133 and 1015 over, and lightening the circumflex brought all but 245 back. Expect to re-measure after a glyph change rather than to derive."
"133","scene-content","1159736","verified","568 bytes past this resource's pristine outer allocation. 41 translated token records adding 18 glyphs. Played without issue at this extent. Entered twenty times from a memory-card save with no fault, which is the run count 1337's ladder established as meaningful against a two-in-five failure rate. Play-tested again on the drawn accent marks -- twenty entries from a memory-card save, no fault -- but at an extent below this mark, so the figure is unchanged and this row is verified rather than a candidate. This resource ends within a dozen bytes of that mark, and every change to the drawn accent art recompresses it by a few bytes, so it crosses the line easily: the first drawn set put 127, 133 and 245 over, thinning the marks put only 245 over, reshaping the tilde put 133 and 1015 over, and lightening the circumflex brought all but 245 back. Expect to re-measure after a glyph change rather than to derive."
"245","scene-content","1407236","verified","252 bytes past this resource's pristine outer allocation. one token record, adding U m o-acute a-acute c-cedilla to a 19-glyph font. Played without issue at this extent, so its line stays translated rather than going the way resource 605's msg 4 did. Entered twenty times from a memory-card save with no fault, which is the run count 1337's ladder established as meaningful against a two-in-five failure rate. Raised from 1407228 to 1407236 by play-test: the drawn accent marks recompress this archive 8 bytes longer, and the scene was entered twenty times from a memory-card save at 1407236 with no fault, which is the run count 1337's ladder established as meaningful against a two-in-five failure rate. This resource ends within a dozen bytes of that mark, and every change to the drawn accent art recompresses it by a few bytes, so it crosses the line easily: the first drawn set put 127, 133 and 245 over, thinning the marks put only 245 over, reshaping the tilde put 133 and 1015 over, and lightening the circumflex brought all but 245 back. Expect to re-measure after a glyph change rather than to derive."
"1015","scene-content","1324012","verified","a plain scene archive's indexed content may end here, 1004 bytes past its pristine outer allocation of 1323008. Clean over 20 PCSX2 runs entered from a memory-card save, which is the run count 1337's ladder established as meaningful against a two-in-five failure rate. Recorded because the default budget for a plain scene is its pristine allocation, and this resource is measured past it -- resource 605 crashes 228 bytes past its own, so distance is not what decides and only a play-test can grant an exception. Play-tested again on the drawn accent marks -- twenty entries from a memory-card save, no fault -- but at an extent below this mark, so the figure is unchanged and this row is verified rather than a candidate. This resource ends within a dozen bytes of that mark, and every change to the drawn accent art recompresses it by a few bytes, so it crosses the line easily: the first drawn set put 127, 133 and 245 over, thinning the marks put only 245 over, reshaping the tilde put 133 and 1015 over, and lightening the circumflex brought all but 245 back. Expect to re-measure after a glyph change rather than to derive."
