english,japanese,pt-BR,sv-SE
Aaron,アーロン,Aaron,Aaron
Adonis,アドニス,Adonis,Adonis
Aegis,イージス,Aegis,Aegis
Alicia,アリーシャ,Alicia,Alicia
Alm,アルム,Alm,Alm
Arcana,アルカナ,Arcana,Arcana
Arngrim,アリューゼ,Arngrim,Arngrim
Atrasia,アトレイシア,Atrasia,Atrasia
Barbarossa,バルバロッサ,Barbarossa,Barbarossa
Brahms,ブラムス,Brahms,Brahms
Celes,セレス,Celes,Celes
Chrystie,クリスティ,Chrystie,Chrystie
Circe,キルケ,Circe,Circe
Crescent,クレセント,Crescent,Crescent
Dallas,ダレス,Dallas,Dallas
Dylan,ディラン,Dylan,Dylan
Dyn,ディーン,Dyn,Dyn
Ehlen,エーレン,Ehlen,Ehlen
Ehrde,エルド,Ehrde,Ehrde
Falx,ファルクス,Falx,Falx
Farant,ファーラント,Farant,Farant
Fraudir,フローディア,Fraudir,Fraudir
Freya,フレイ,Freya,Freya
Gerald,ジェラルド,Gerald,Gerald
Guilm,ギルム,Guilm,Guilm
Gyne,ガイン,Gyne,Gyne
Heimdall,ヘイムダル,Heimdall,Heimdall
Hrist,アーリィ,Hrist,Hrist
Jessica,ジェシカ,Jessica,Jessica
Khanon,カノン,Khanon,Khanon
Kraad,クラッド,Kraad,Kraad
Lenneth,レナス,Lenneth,Lenneth
Leone,レオーネ,Leone,Leone
Lezard,レザード,Lezard,Lezard
Lwyn,ルイン,Lwyn,Lwyn
Lydia,リディア,Lydia,Lydia
Lylia,リリア,Lylia,Lylia
Masato,魔智,Masato,Masato
Millidia,ミリティア,Millidia,Millidia
Mithra,ミトラ,Mithra,Mithra
Odin,オーディン,Odin,Odin
Phyress,フィレス,Phyress,Phyress
Psoron,ソロン,Psoron,Psoron
Rasheeka,ラシーカ,Rasheeka,Rasheeka
Richelle,リシェル,Richelle,Richelle
Roland,ローランド,Roland,Roland
Roussalier,ルザリエ,Roussalier,Roussalier
Rufus,ルーファス,Rufus,Rufus
Seluvia,セルヴィア,Seluvia,Seluvia
Sha-kon,紗紺,Sha-kon,Sha-kon
Silmeria,シルメリア,Silmeria,Silmeria
Sophalla,ソファラ,Sophalla,Sophalla
Sylphide,シルフィード,Sylphide,Sylphide
Tyrith,ティリス,Tyrith,Tyrith
Ull,ウル,Ull,Ull
Valkyrie,ヴァルキリー,Valquíria,Valkyria
Walther,ウォルザ,Walther,Walther
Woltar,ウォルター,Woltar,Woltar
Xehnon,ゼノン,Xehnon,Xehnon
Zunde,ザンデ,Zunde,Zunde
Dirna Hamilton,ディルナ・ハミルトン,Dirna Hamilton,Dirna Hamilton
Gabriel Celeste,ガブリエ・セレスタ,Gabriel Celeste,Gabriel Celeste
Ethereal Queen(Iseria Queen),イセリア・クイーン,,Ethereal Queen
Hel,ヘル,Hel,Hel
