english,japanese,translated
Ancient Forest,蒼枯の森,Floresta Antiga
Asgard,アスガルド,Asgard
Audoula Temple on the Lake,アウドゥーラ水上神殿,Templo de Audoula no Lago
Chateau Obsession,昏き妄執の館,Chateau Obsession
Coriander,コリアンドル村,Coriander
Crawsus Forest Ruins,クローサス森林遺跡,Ruínas da Floresta Crawsus
Crell Monferaigne,クレルモンフェラン,Crell Monferaigne
Dipan,ディパン,Dipan
Dipan Castle,ディパン城,Castelo de Dipan
Dragonscrypt,竜の墓場,Cripta do Dragão
Forest of Spirits,精霊の森,Floresta dos Espíritos
Kalstad,カルスタッド,Kalstad
Kythena Plains,キセナ草原,Planícies de Kythena
Lost Forest,喪失の森,Floresta Perdida
Palace of the Venerated Dragon,奉竜殿,Palácio do Dragão Venerado
Royal Underground Path,王家の地下道,Passagem Subterrânea Real
Sahma Desert,サーマ砂漠,Deserto de Sahma
Seraphic Gate,セラフィックゲート,Portal Seráfico
Serdberg Mountain Ruins,セルドベルグ山岳遺跡,Ruínas da Montanha Serdberg
Solde,ゾルデ,Solde
Sukavia Gorge,スカビア渓谷,Desfiladeiro de Sukavia
Surts Volcano Caverns,スルス火山洞窟,Cavernas do Vulcão Surts
Tower of Lezard Valeth,レザード・ヴァレスの塔,Torre de Lezard Valeth
Turgen Mine,トゥルゲン鉱山,Mina de Turgen
Villnore,ヴィルノア,Villnore
Yggdrasil,ユグドラシル,Yggdrasil
Ravine Caverns,狭間の洞窟,Cavernas do Desfiladeiro
Hall of Valhalla,ヴァルハラ宮殿,Salão de Valhalla
Paltierre,パルティア公国,Paltierre
