english,japanese,pt-BR,sv-SE
Aesir,アース神族,Aesir,Aesir
einherjar,エインフェリア,einherjar,einherjar
Lord,,Lorde,Herre
Lord of the Undead,不死者王,Lorde dos Mortos Vivos(pode ser também desmorto  já que se trata seres inteligentes e também é de forma culta),De odödas herre
Midgard,ミッドガルド,Midgard,Midgård
OTH,OTH,OTH,OTH
Soul Street,ソール通り,Rua da Alma,Själsgatan
Sovereign's Rite,王呼の秘法,Rito Soberano,Suveränens rit
Undead,不死者,Morto Vivo,Odead
Nifleheim,ニブルヘイム,Nifleheim,Nifelheim
Valhalla,ヴァルハラ,Valhalla,Valhalla
Bifrost,ビフレスト,Bifroste,Bifrost
Four Treasures,四宝,Quatro Relíquias,De fyra skatterna
Ragnarok,ラグナロク,Ragnarok,Ragnarök
Sealstone,封印石,Pedra de Selo,Segelsten
Mist of Nifleheim,ニブルヘイムの霧,Névoa de Niflehelm,Nifelheims dimma
