resource,message_id,translated,notes
10,1,,
10,0,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,10,,
10,11,,
10,90,,
10,100,Sim,
10,101,Não,
10,102,Pular esta sequência?,
10,1000,,
10,1001,,
10,1002,,
10,1003,,
10,1004,,
10,1005,,
10,1006,,
10,1007,,
10,1008,,
10,1009,,
10,1010,,
10,1011,,
10,1012,,
10,1013,,
10,1014,,
10,1015,,
10,1016,,
10,2000,Perigo.,
10,2001,De quê?,
10,2002,Não consegue sentir?,
10,2003,"Como você sabe?
                                 Eu não sinto nada.",
10,2004,"Se ela diz que estamos em perigo, é porque estamos!",
10,2005,Ele tem razão!,
10,2006,"Abra os olhos,",
10,2007,Alicia.,
10,2008,Corra! Fuja do castelo!,
10,2010,"Por aqui, rápido!",
10,2011,Depressa!,
10,2012,Rápido!,
10,2013,Eu sei! Não nos apresse!,
10,2014,Por ali!,
10,2015,"Silmeria, volte imediatamente!",
10,2016,Eu não vou...,
10,2017,Não vou voltar a Valhalla!,
10,2019,Você vai desobedecer Odin até o último suspiro.,
10,2020,Que assim seja.,
10,2021,Mas fique avisada<808A>,
10,2021+2,,
10,2021+4,<3F80>-<808B>Dipan não será poupado.,
10,2022,Obrigada.,
10,2023,Agora não há como voltar atrás.,
10,2024,Vamos...,
