resource,message_id,translated,notes
399,3,,
399,4,,
399,5,,
399,6,,
399,7,,
399,8,,
399,9,,
399,10,,
399,11,,
399,21,,
399,12,,
399,13,,
399,15,,
399,16,,
399,17,,
399,18,,
399,19,,
399,23,,
399,22,,not displayed by the event script
399,757,,not displayed by the event script
399,2741,,not displayed by the event script
399,2742,,not displayed by the event script
399,2743,,not displayed by the event script
399,2744,,not displayed by the event script
399,2745,,not displayed by the event script
399,2746,,not displayed by the event script
